sample-id	developmental-stage	plant-species	plant-id	lineage	date-frozen	date-pupated	date-eclosed
w3mp_3sc1	3rd-instar	curassavica	JC8	KLb5-TI10	06-18-2023	NA	NA
w3mp_3sc2	3rd-instar	curassavica	JC9	KLb5-TI10	06-18-2023	NA	NA
w3mp_3sc3	3rd-instar	curassavica	JC1	KLb5-TI10	06-18-2023	NA	NA
w3mp_3si4	3rd-instar	incarnata	JI1	KLb5-TI10	06-18-2023	NA	NA
w3mp_3si5	3rd-instar	incarnata	JI7	KLb5-TI10	06-18-2023	NA	NA
w3mp_3si6	3rd-instar	incarnata	JI11	KLb5-TI10	06-18-2023	NA	NA
w3mp_3sc7	3rd-instar	curassavica	JC12	IJ8-RB7	06-21-2023	NA	NA
w3mp_3sc8	3rd-instar	curassavica	JC15	IJ8-RB7	06-21-2023	NA	NA
w3mp_3sc9	3rd-instar	curassavica	JC20	IJ8-RB7	06-21-2023	NA	NA
w3mp_3si10	3rd-instar	incarnata	JI19	IJ8-RB7	06-21-2023	NA	NA
w3mp_3si11	3rd-instar	incarnata	JI24	IJ8-RB7	06-21-2023	NA	NA
w3mp_3si12	3rd-instar	incarnata	JI23	IJ8-RB7	06-21-2023	NA	NA
w3mp_3*si13	3rd-instar	incarnata	JI4	TI11-WL1	06-21-2023	NA	NA
w3mp_3*si14	3rd-instar	incarnata	JI3	TI11-WL1	06-21-2023	NA	NA
w3mp_3*si15	3rd-instar	incarnata	JI28	TI11-WL1	06-21-2023	NA	NA
w3mp_3*si16	3rd-instar	incarnata	JI27	TI11-WL1	06-21-2023	NA	NA
w3mp_3*sc17	3rd-instar	curassavica	JC23	TI11-WL1	06-21-2023	NA	NA
w3mp_3*sc18	3rd-instar	curassavica	JC14	TI11-WL1	06-21-2023	NA	NA
w3mp_3*sc19	3rd-instar	curassavica	JC21	TI11-WL1	06-21-2023	NA	NA
w3mp_5sc20	5th-instar	curassavica	JC1	KLb5-TI10	06-21-2023	NA	NA
w3mp_5sc21	5th-instar	curassavica	JC7	KLb5-TI10	06-21-2023	NA	NA
w3mp_5sc22	5th-instar	curassavica	JC7	KLb5-TI10	06-21-2023	NA	NA
w3mp_5sc23	5th-instar	curassavica	JC19	KLb5-TI10	06-21-2023	NA	NA
w3mp_5si24	5th-instar	incarnata	JI2	KLb5-TI10	06-21-2023	NA	NA
w3mp_5si25	5th-instar	incarnata	JI1	KLb5-TI10	06-21-2023	NA	NA
w3mp_5si26	5th-instar	incarnata	JI6	KLb5-TI10	06-21-2023	NA	NA
w3mp_5sc27	5th-instar	curassavica	JC11	IJ8-RB7	06-22-2023	NA	NA
w3mp_5sc28	5th-instar	curassavica	JC18	IJ8-RB7	06-22-2023	NA	NA
w3mp_5sc29	5th-instar	curassavica	JC27	IJ8-RB7	06-22-2023	NA	NA
w3mp_5si30	5th-instar	incarnata	JI20	IJ8-RB7	06-22-2023	NA	NA
w3mp_5si31	5th-instar	incarnata	JI13	IJ8-RB7	06-22-2023	NA	NA
w3mp_5si32	5th-instar	incarnata	JI24	IJ8-RB7	06-22-2023	NA	NA
w3mp_Esc33	early-pupa	curassavica	JC8	KLb5-TI10	06-25-2023	06-24-2023	NA
w3mp_Esi34	early-pupa	incarnata	JI7	KLb5-TI10	06-25-2023	06-24-2023	NA
w3mp_Esi35	early-pupa	incarnata	JI9	KLb5-TI10	06-25-2023	06-24-2023	NA
w3mp_Esi36	early-pupa	incarnata	JI14	KLb5-TI10	06-25-2023	06-24-2023	NA
w3mp_Esc37	early-pupa	curassavica	JC9	KLb5-TI10	06-26-2023	06-25-2023	NA
w3mp_Esc38	early-pupa	curassavica	JC28	IJ8-RB7	06-26-2023	06-25-2023	NA
w3mp_Esc39	early-pupa	curassavica	JC1	KLb5-TI10	06-26-2023	06-25-2023	NA
w3mp_Esi40	early-pupa	incarnata	JI20	IJ8-RB7	06-26-2023	06-25-2023	NA
w3mp_Esi41	early-pupa	incarnata	JI19	IJ8-RB7	06-26-2023	06-25-2023	NA
w3mp_5sc42	5th-instar	curassavica	JC24	TI11-WL1	06-26-2023	NA	NA
w3mp_5si43	5th-instar	incarnata	JI27	TI11-WL1	06-26-2023	NA	NA
w3mp_Esi44	early-pupa	incarnata	JI13	IJ8-RB7	06-27-2023	06-26-2023	NA
w3mp_Esc45	early-pupa	curassavica	JC2	IJ8-RB7	06-27-2023	06-26-2023	NA
w3mp_Esc46	early-pupa	curassavica	JC15	IJ8-RB7	06-27-2023	06-26-2023	NA
w3mp_5si47	5th-instar	incarnata	JI3	TI11-WL1	06-27-2023	NA	NA
w3mp_5si48	5th-instar	incarnata	JI28	TI11-WL1	06-27-2023	NA	NA
w3mp_5sc49	5th-instar	curassavica	JC21	TI11-WL1	06-27-2023	NA	NA
w3mp_5sc50	5th-instar	curassavica	JC23	TI11-WL1	06-27-2023	NA	NA
w3mp_Msi51	middle-pupa	incarnata	JI5	KLb5-TI10	06-30-2023	06-25-2023	NA
w3mp_Msi52	middle-pupa	incarnata	JI17	KLb5-TI10	06-30-2023	06-25-2023	NA
w3mp_Msi53	middle-pupa	incarnata	JI26	KLb5-TI10	06-30-2023	06-25-2023	NA
w3mp_Msc54	middle-pupa	curassavica	JC29	IJ8-RB7	07-01-2023	06-26-2023	NA
w3mp_Msc55	middle-pupa	curassavica	JC4	IJ8-RB7	07-01-2023	06-26-2023	NA
w3mp_Msc56	middle-pupa	curassavica	JC3	IJ8-RB7	07-01-2023	06-26-2023	NA
w3mp_Msi57	middle-pupa	incarnata	JI23	IJ8-RB7	07-01-2023	06-26-2023	NA
w3mp_Msc58	middle-pupa	curassavica	JC19	KLb5-TI10	07-02-2023	06-27-2023	NA
w3mp_Msc59	middle-pupa	curassavica	JC3	IJ8-RB7	07-02-2023	06-27-2023	NA
w3mp_Msi60	middle-pupa	incarnata	JI12	IJ8-RB7	07-02-2023	06-27-2023	NA
w3mp_Msi61	middle-pupa	incarnata	JI20	IJ8-RB7	07-02-2023	06-27-2023	NA
w3mp_Msi62	middle-pupa	incarnata	JI16	IJ8-RB7	07-02-2023	06-27-2023	NA
w3mp_Lsi63	late-pupa	incarnata	JI20	IJ8-RB7	07-02-2023	06-24-2023	NA
w3mp_Lsi64	late-pupa	incarnata	JI25	KLb5-TI10	07-02-2023	06-24-2023	NA
w3mp_Asi65	adult	incarnata	JI11	KLb5-TI10	07-02-2023	06-24-2023	07-02-2023
w3mp_Asi66	adult	incarnata	JI6	KLb5-TI10	07-03-2023	06-24-2023	07-03-2023
w3mp_Asi67	adult	incarnata	JI25	KLb5-TI10	07-03-2023	06-24-2023	07-03-2023
w3mp_Asi68	adult	incarnata	JI2	KLb5-TI10	NA	06-24-2023	07-03-2023
w3mp_Asi69	adult	incarnata	JI10	KLb5-TI10	NA	06-24-2023	07-03-2023
w3mp_Asi70	adult	incarnata	JI15	KLb5-TI10	NA	06-24-2023	07-03-2023
w3mp_Asi71	adult	incarnata	JI21	KLb5-TI10	NA	06-24-2023	07-03-2023
w3mp_Asc72	adult	curassavica	JC29	IJ8-RB7	NA	06-26-2023	07-04-2023
w3mp_Asc73	adult	curassavica	JC22	IJ8-RB7	NA	06-26-2023	07-04-2023
w3mp_Asc74	adult	curassavica	JC15	IJ8-RB7	NA	06-26-2023	07-04-2023
w3mp_Asc75	adult	curassavica	JC17	IJ8-RB7	NA	06-26-2023	07-04-2023
w3mp_Asi76	adult	incarnata	JI18	IJ8-RB7	NA	06-26-2023	07-04-2023
w3mp_Asc77	adult	curassavica	JC2	IJ8-RB7	NA	06-26-2023	07-04-2023
w3mp_Asi78	adult	incarnata	JI1	KLb5-TI10	NA	06-25-2023	07-04-2023
w3mp_Asi79	adult	incarnata	JI19	IJ8-RB7	07-04-2023	06-25-2023	07-04-2023
