sample-id	season	plant-id	plant-species	date-on-plant	date-pupated	date-eclosed	alternative-id	season	lineage	on-plant-to-pupation	pupation-to-eclosion	on-plant-to-eclosion
w3mp_Asc105	summer	JC25	curassavica	6/18/23	6/26/23	7/3/23	NA	summer	TI11-WL1	11	7	15
w3mp_Asc124	summer	JC10	curassavica	6/16/23	6/26/23	7/4/23	C6	summer	IJ8-RB7	10	8	18
w3mp_Asc119	summer	JC11	curassavica	6/16/23	6/26/23	7/4/23	C1	summer	IJ8-RB7	10	8	18
w3mp_Asc74	summer	JC15	curassavica	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asc75	summer	JC17	curassavica	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asc83	summer	JC18	curassavica	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asc77	summer	JC2	curassavica	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asc122	summer	JC2	curassavica	6/16/23	6/26/23	7/4/23	C4	summer	IJ8-RB7	10	8	18
w3mp_Asc129	summer	JC20	curassavica	6/16/23	6/28/23	7/6/23	C10	summer	IJ8-RB7	12	8	20
w3mp_Asc73	summer	JC22	curassavica	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asc121	summer	JC22	curassavica	6/16/23	6/26/23	7/4/23	C3	summer	IJ8-RB7	10	8	18
w3mp_Asc101	summer	JC26	curassavica	6/16/23	6/28/23	7/6/23	NA	summer	IJ8-RB7	12	8	20
w3mp_Asc130	summer	JC26	curassavica	6/16/23	6/28/23	7/6/23	C11	summer	IJ8-RB7	12	8	20
w3mp_Asc82	summer	JC27	curassavica	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asc72	summer	JC29	curassavica	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asc120	summer	JC29	curassavica	6/16/23	6/26/23	7/4/23	C2	summer	IJ8-RB7	10	8	18
w3mp_Asc123	summer	JC4	curassavica	6/16/23	6/26/23	7/4/23	C5	summer	IJ8-RB7	10	8	18
w3mp_Asc125	summer	JC6	curassavica	6/16/23	6/27/23	7/5/23	C7	summer	IJ8-RB7	11	8	19
w3mp_Asi65	summer	JI11	incarnata	6/12/23	6/24/23	7/2/23	NA	summer	KLb5-TI10	12	8	20
w3mp_Asi111	summer	JI11	incarnata	6/12/23	6/25/23	7/3/23	I2	summer	KLb5-TI10	13	8	21
w3mp_Asi114	summer	JI17	incarnata	6/12/23	6/25/23	7/3/23	I5	summer	KLb5-TI10	13	8	21
w3mp_Asi76	summer	JI18	incarnata	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asi80	summer	JI18	incarnata	6/16/23	6/26/23	7/4/23	NA	summer	IJ8-RB7	10	8	18
w3mp_Asi118	summer	JI26	incarnata	6/12/23	6/25/23	7/3/23	I9	summer	KLb5-TI10	13	8	21
w3mp_Asi136	summer	JI28	incarnata	6/18/23	7/1/23	7/9/23	I12	summer	TI11-WL1	13	8	21
w3mp_Asi132	summer	JI4	incarnata	6/18/23	6/30/23	7/8/23	I11	summer	TI11-WL1	12	8	20
w3mp_Asi112	summer	JI5	incarnata	6/12/23	6/25/23	7/3/23	I3	summer	KLb5-TI10	13	8	21
w3mp_Asc99	summer	JC13	curassavica	6/16/23	6/27/23	7/6/23	NA	summer	IJ8-RB7	11	9	20
w3mp_Asc104	summer	JC13	curassavica	6/16/23	6/28/23	7/7/23	NA	summer	IJ8-RB7	12	9	21
w3mp_Asc135	summer	JC14	curassavica	6/18/23	6/29/23	7/8/23	C15	summer	TI11-WL1	11	9	20
w3mp_Asc100	summer	JC16	curassavica	6/16/23	6/27/23	7/6/23	NA	summer	IJ8-RB7	11	9	20
w3mp_Asc126	summer	JC17	curassavica	6/16/23	6/26/23	7/5/23	C8	summer	IJ8-RB7	10	9	19
w3mp_Asc131	summer	JC20	curassavica	6/16/23	6/28/23	7/7/23	C12	summer	IJ8-RB7	12	9	21
w3mp_Asc133	summer	JC23	curassavica	6/18/23	6/29/23	7/8/23	C13	summer	TI11-WL1	11	9	20
w3mp_Asc107	summer	JC24	curassavica	6/18/23	6/29/23	7/8/23	NA	summer	TI11-WL1	11	9	20
w3mp_Asc108	summer	JC25	curassavica	6/18/23	6/29/23	7/8/23	NA	summer	TI11-WL1	11	9	20
w3mp_Asc134	summer	JC25	curassavica	6/18/23	6/29/23	7/8/23	C14	summer	TI11-WL1	11	9	20
w3mp_Asc92	summer	JC3	curassavica	6/16/23	6/26/23	7/5/23	NA	summer	IJ8-RB7	10	9	19
w3mp_Asc93	summer	JC7	curassavica	6/12/23	6/26/23	7/5/23	NA	summer	KLb5-TI10	14	9	23
w3mp_Asi78	summer	JI1	incarnata	6/12/23	6/25/23	7/4/23	NA	summer	KLb5-TI10	13	9	22
w3mp_Asi69	summer	JI10	incarnata	6/12/23	6/24/23	7/3/23	NA	summer	KLb5-TI10	12	9	21
w3mp_Asi115	summer	JI14	incarnata	6/12/23	6/24/23	7/3/23	I6	summer	KLb5-TI10	12	9	21
w3mp_Asi116	summer	JI14	incarnata	6/12/23	6/24/23	7/3/23	I7	summer	KLb5-TI10	12	9	21
w3mp_Asi70	summer	JI15	incarnata	6/12/23	6/24/23	7/3/23	NA	summer	KLb5-TI10	12	9	21
w3mp_Asi110	summer	JI15	incarnata	6/12/23	6/24/23	7/3/23	I1	summer	KLb5-TI10	12	9	21
w3mp_Asi128	summer	JI16	incarnata	6/16/23	6/27/23	7/6/23	I10	summer	IJ8-RB7	11	9	20
w3mp_Asi79	summer	JI19	incarnata	6/12/23	6/25/23	7/4/23	NA	summer	KLb5-TI10	13	9	22
w3mp_Asi68	summer	JI2	incarnata	6/12/23	6/24/23	7/3/23	NA	summer	KLb5-TI10	12	9	21
w3mp_Asi71	summer	JI21	incarnata	6/12/23	6/24/23	7/3/23	NA	summer	KLb5-TI10	12	9	21
w3mp_Asi95	summer	JI22	incarnata	6/16/23	6/26/23	7/5/23	NA	summer	IJ8-RB7	10	9	19
w3mp_Asi67	summer	JI25	incarnata	6/12/23	6/24/23	7/3/23	NA	summer	KLb5-TI10	12	9	21
w3mp_Asi117	summer	JI26	incarnata	6/12/23	6/24/23	7/3/23	I8	summer	KLb5-TI10	12	9	21
w3mp_Asi137	summer	JI4	incarnata	6/18/23	6/30/23	7/9/23	I13	summer	TI11-WL1	12	9	21
w3mp_Asi66	summer	JI6	incarnata	6/12/23	6/24/23	7/3/23	NA	summer	KLb5-TI10	12	9	21
w3mp_Asi113	summer	JI9	incarnata	6/12/23	6/24/23	7/3/23	I4	summer	KLb5-TI10	12	9	21
