days_post_pupation	number_of_eclosions_summer	number_of_eclosions_fall	proportion_of_total_individuals_summer	proportion_of_total_individuals_summer	number_of_eclosions_summer_inc	number_of_eclosions_summer_cur	number_of_eclosions_fall_inc	number_of_eclosions_fall_cur	proportion_of_total_individuals_summer_inc	proportion_of_total_individuals_summer_cur	proportion_of_total_individuals_fall_inc	proportion_of_total_individuals_fall_cur
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	1	0	0.01010101	0	0	1	0	0	0	0.02	0	0
8	26	0	0.272727273	0	9	17	0	0	0.183673469	0.36	0	0
9	28	0	0.555555556	0	16	12	0	0	0.510204082	0.6	0	0
10	5	0	0.606060606	0	4	1	0	0	0.591836735	0.62	0	0
11	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
12	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
13	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
14	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
15	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
16	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
17	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
18	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
19	0	0	0.606060606	0	0	0	0	0	0.591836735	0.62	0	0
20	0	1	0.606060606	0.006666667	0	0	0	1	0.591836735	0.62	0	0.0125
21	0	0	0.606060606	0.006666667	0	0	0	0	0.591836735	0.62	0	0.0125
22	0	0	0.606060606	0.006666667	0	0	0	0	0.591836735	0.62	0	0.0125
23	0	0	0.606060606	0.006666667	0	0	0	0	0.591836735	0.62	0	0.0125
24	0	0	0.606060606	0.006666667	0	0	0	0	0.591836735	0.62	0	0.0125
25	0	0	0.606060606	0.006666667	0	0	0	0	0.591836735	0.62	0	0.0125
26	0	0	0.606060606	0.006666667	0	0	0	0	0.591836735	0.62	0	0.0125
27	0	0	0.606060606	0.006666667	0	0	0	0	0.591836735	0.62	0	0.0125
28	0	1	0.606060606	0.013333333	0	0	0	1	0.591836735	0.62	0	0.025
29	0	0	0.606060606	0.013333333	0	0	0	0	0.591836735	0.62	0	0.025
30	0	0	0.606060606	0.013333333	0	0	0	0	0.591836735	0.62	0	0.025
31	0	0	0.606060606	0.013333333	0	0	0	0	0.591836735	0.62	0	0.025
32	0	1	0.606060606	0.02	0	0	0	1	0.591836735	0.62	0	0.0375
33	0	0	0.606060606	0.02	0	0	0	0	0.591836735	0.62	0	0.0375
34	0	3	0.606060606	0.04	0	0	0	3	0.591836735	0.62	0	0.075
35	0	0	0.606060606	0.04	0	0	0	0	0.591836735	0.62	0	0.075
36	0	0	0.606060606	0.04	0	0	0	0	0.591836735	0.62	0	0.075
37	0	0	0.606060606	0.04	0	0	0	0	0.591836735	0.62	0	0.075
38	0	0	0.606060606	0.04	0	0	0	0	0.591836735	0.62	0	0.075
39	0	1	0.606060606	0.046666667	0	0	1	0	0.591836735	0.62	0.014285714	0.075
40	0	2	0.606060606	0.06	0	0	0	2	0.591836735	0.62	0.014285714	0.1
41	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
42	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
43	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
44	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
45	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
46	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
47	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
48	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
49	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
50	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
51	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
52	0	0	0.606060606	0.06	0	0	0	0	0.591836735	0.62	0.014285714	0.1
53	0	1	0.606060606	0.066666667	0	0	0	1	0.591836735	0.62	0.014285714	0.1125
54	0	0	0.606060606	0.066666667	0	0	0	0	0.591836735	0.62	0.014285714	0.1125
55	0	0	0.606060606	0.066666667	0	0	0	0	0.591836735	0.62	0.014285714	0.1125
56	0	1	0.606060606	0.073333333	0	0	1	0	0.591836735	0.62	0.028571429	0.1125
57	0	0	0.606060606	0.073333333	0	0	0	0	0.591836735	0.62	0.028571429	0.1125
58	0	0	0.606060606	0.073333333	0	0	0	0	0.591836735	0.62	0.028571429	0.1125
59	0	0	0.606060606	0.073333333	0	0	0	0	0.591836735	0.62	0.028571429	0.1125
60	0	3	0.606060606	0.093333333	0	0	1	2	0.591836735	0.62	0.042857143	0.1375
