days_post_pupation	number_of_eclosions_summer	number_of_eclosions_fall	proportion_of_total_individuals_summer	proportion_of_total_individuals_summer
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	1	0	0.01010101	0
8	26	0	0.272727273	0
9	28	0	0.555555556	0
10	5	0	0.606060606	0
11	0	0	0.606060606	0
12	0	0	0.606060606	0
13	0	0	0.606060606	0
14	0	0	0.606060606	0
15	0	0	0.606060606	0
16	0	0	0.606060606	0
17	0	0	0.606060606	0
18	0	0	0.606060606	0
19	0	0	0.606060606	0
20	0	1	0.606060606	0.006666667
21	0	0	0.606060606	0.006666667
22	0	0	0.606060606	0.006666667
23	0	0	0.606060606	0.006666667
24	0	0	0.606060606	0.006666667
25	0	0	0.606060606	0.006666667
26	0	0	0.606060606	0.006666667
27	0	0	0.606060606	0.006666667
28	0	1	0.606060606	0.013333333
29	0	0	0.606060606	0.013333333
30	0	0	0.606060606	0.013333333
31	0	0	0.606060606	0.013333333
32	0	1	0.606060606	0.02
33	0	0	0.606060606	0.02
34	0	3	0.606060606	0.04
35	0	0	0.606060606	0.04
36	0	0	0.606060606	0.04
37	0	0	0.606060606	0.04
38	0	0	0.606060606	0.04
39	0	1	0.606060606	0.046666667
40	0	2	0.606060606	0.06
41	0	0	0.606060606	0.06
42	0	0	0.606060606	0.06
43	0	0	0.606060606	0.06
44	0	0	0.606060606	0.06
45	0	0	0.606060606	0.06
46	0	0	0.606060606	0.06
47	0	0	0.606060606	0.06
48	0	0	0.606060606	0.06
49	0	0	0.606060606	0.06
50	0	0	0.606060606	0.06
51	0	0	0.606060606	0.06
52	0	0	0.606060606	0.06
53	0	1	0.606060606	0.066666667
54	0	0	0.606060606	0.066666667
55	0	0	0.606060606	0.066666667
56	0	1	0.606060606	0.073333333
57	0	0	0.606060606	0.073333333
58	0	0	0.606060606	0.073333333
59	0	0	0.606060606	0.073333333
60	0	3	0.606060606	0.093333333
