day,average_temperature,average_daytime_temperature,average_nighttime_temperature,day_from_start
21.0,25.438255463286715,29.366658653846155,21.509852272727272,0
22.0,25.619355987762237,30.398115384615384,20.84059659090909,1
23.0,25.270613854895103,28.283966346153846,22.257261363636363,2
24.0,27.582406905594404,30.72189903846154,24.44291477272727,3
25.0,27.255984265734266,31.495735576923078,23.016232954545455,4
26.0,27.703832604895105,31.631903846153847,23.775761363636363,5
27.0,25.08030769230769,26.966865384615385,23.19375,6
28.0,28.049496284965034,32.248384615384616,23.850607954545456,7
29.0,27.536475961538464,31.093826923076925,23.979125,8
30.0,25.571109047202796,29.27264423076923,21.86957386363636,9
31.0,24.503076486013985,26.556596153846154,22.44955681818182,10
32.0,25.09697618006993,26.31160576923077,23.882346590909094,11
33.0,27.51751638986014,30.69922596153846,24.33580681818182,12
34.0,26.72965013111888,29.30262980769231,24.156670454545456,13
35.0,27.018191215034967,30.544615384615387,23.491767045454544,14
36.0,26.082853583916084,28.172110576923078,23.993596590909092,15
37.0,24.282567744755244,25.651879807692307,22.913255681818182,16
38.0,26.3356875,29.489875,23.1815,17
39.0,27.361272727272727,30.5274375,24.195107954545456,18
40.0,28.484447115384615,31.00089423076923,25.968000000000004,19
41.0,28.01316979895105,30.101850961538464,25.924488636363638,20
42.0,28.71961123251748,31.506807692307692,25.93241477272727,21
43.0,28.364671547202796,30.74651923076923,25.982823863636362,22
44.0,26.502316215034966,28.743865384615383,24.260767045454546,23
45.0,27.72524060314685,30.680947115384615,24.76953409090909,24
46.0,27.86818138111888,29.942254807692308,25.794107954545453,25
47.0,27.557231643356644,31.472201923076923,23.64226136363636,26
48.0,25.09662062937063,28.148235576923078,22.045005681818182,27
49.0,24.00178256118881,25.510360576923077,22.493204545454546,28
50.0,26.289870192307692,28.730427884615384,23.8493125,29
51.0,26.301432036713287,28.940903846153848,23.661960227272726,30
52.0,26.87067373251748,30.01168269230769,23.729664772727272,31
53.0,27.924911057692306,30.552072115384615,25.29775,32
54.0,28.820017263986013,31.755153846153846,25.88488068181818,33
55.0,27.66209680944056,30.718403846153848,24.605789772727274,34
56.0,27.467964663461537,29.92098557692308,25.01494375,35
