day,average_temperature,average_daytime_temperature,average_nighttime_temperature,day_from_start
12.0,23.402877840909092,25.4776875,21.328068181818182,0
13.0,25.796134833916085,28.046985576923078,23.545284090909092,1
14.0,26.53641171328671,29.786346153846154,23.286477272727275,2
15.0,24.982537587412587,27.665399038461537,22.299676136363637,3
16.0,23.17225590034965,23.867028846153847,22.477482954545454,4
17.0,23.10038570804196,24.607350961538465,21.593420454545452,5
18.0,20.253225524475525,20.772581730769232,19.733869318181817,6
19.0,20.497363854895106,21.869153846153846,19.125573863636365,7
20.0,23.305831439393938,26.030833333333334,20.580829545454545,8
21.0,25.438255463286715,29.366658653846155,21.509852272727272,9
22.0,25.619355987762237,30.398115384615384,20.84059659090909,10
23.0,25.270613854895103,28.283966346153846,22.257261363636363,11
24.0,27.582406905594404,30.72189903846154,24.44291477272727,12
25.0,27.255984265734266,31.495735576923078,23.016232954545455,13
26.0,27.703832604895105,31.631903846153847,23.775761363636363,14
27.0,25.08030769230769,26.966865384615385,23.19375,15
28.0,28.049496284965034,32.248384615384616,23.850607954545456,16
29.0,27.536475961538464,31.093826923076925,23.979125,17
30.0,25.571109047202796,29.27264423076923,21.86957386363636,18
31.0,24.503076486013985,26.556596153846154,22.44955681818182,19
32.0,25.09697618006993,26.31160576923077,23.882346590909094,20
33.0,27.51751638986014,30.69922596153846,24.33580681818182,21
34.0,26.72965013111888,29.30262980769231,24.156670454545456,22
35.0,27.018191215034967,30.544615384615387,23.491767045454544,23
36.0,26.082853583916084,28.172110576923078,23.993596590909092,24
37.0,24.282567744755244,25.651879807692307,22.913255681818182,25
38.0,26.3356875,29.489875,23.1815,26
39.0,27.361272727272727,30.5274375,24.195107954545456,27
40.0,28.484447115384615,31.00089423076923,25.968000000000004,28
41.0,28.01316979895105,30.101850961538464,25.924488636363638,29
42.0,28.71961123251748,31.506807692307692,25.93241477272727,30
43.0,28.364671547202796,30.74651923076923,25.982823863636362,31
44.0,26.502316215034966,28.743865384615383,24.260767045454546,32
45.0,27.72524060314685,30.680947115384615,24.76953409090909,33
46.0,27.86818138111888,29.942254807692308,25.794107954545453,34
47.0,27.557231643356644,31.472201923076923,23.64226136363636,35
48.0,25.09662062937063,28.148235576923078,22.045005681818182,36
49.0,24.00178256118881,25.510360576923077,22.493204545454546,37
50.0,26.289870192307692,28.730427884615384,23.8493125,38
51.0,26.301432036713287,28.940903846153848,23.661960227272726,39
52.0,26.87067373251748,30.01168269230769,23.729664772727272,40
53.0,27.924911057692306,30.552072115384615,25.29775,41
54.0,28.820017263986013,31.755153846153846,25.88488068181818,42
55.0,27.66209680944056,30.718403846153848,24.605789772727274,43
56.0,27.467964663461537,29.92098557692308,25.01494375,44
