day,average_temperature,average_daytime_temperature,average_nighttime_temperature,day_from_start
9.0,22.521721153846155,24.431004807692307,20.6124375,0
10.0,22.40625568181818,25.1276875,19.684823863636364,1
11.0,21.22897159090909,22.1418125,20.316130681818183,2
12.0,23.402877840909092,25.4776875,21.328068181818182,3
13.0,25.796134833916085,28.046985576923078,23.545284090909092,4
14.0,26.53641171328671,29.786346153846154,23.286477272727275,5
15.0,24.982537587412587,27.665399038461537,22.299676136363637,6
16.0,23.17225590034965,23.867028846153847,22.477482954545454,7
17.0,23.10038570804196,24.607350961538465,21.593420454545452,8
18.0,20.253225524475525,20.772581730769232,19.733869318181817,9
19.0,20.497363854895106,21.869153846153846,19.125573863636365,10
20.0,23.305831439393938,26.030833333333334,20.580829545454545,11
21.0,25.438255463286715,29.366658653846155,21.509852272727272,12
22.0,25.619355987762237,30.398115384615384,20.84059659090909,13
23.0,25.270613854895103,28.283966346153846,22.257261363636363,14
24.0,27.582406905594404,30.72189903846154,24.44291477272727,15
25.0,27.255984265734266,31.495735576923078,23.016232954545455,16
26.0,27.703832604895105,31.631903846153847,23.775761363636363,17
27.0,25.08030769230769,26.966865384615385,23.19375,18
28.0,28.049496284965034,32.248384615384616,23.850607954545456,19
