days_post_on_plant	number_of_pupations_summer	number_of_pupations_fall	proportion_of_total_pupations_summer	proportion_of_total_pupations_fall	proportion_of_total_individuals_summer	proportion_of_total_individuals_summer	number_of_pupations_summer_inc	number_of_pupations_summer_cur	number_of_pupations_fall_inc	number_of_pupations_fall_cur	proportion_of_total_individuals_summer_inc	proportion_of_total_individuals_summer_cur	proportion_of_total_individuals_fall_inc	proportion_of_total_individuals_fall_cur
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	4	0	0.040816327	0	0.02962963	0	3	1	0	0	0.044117647	0.014925373	0	0
10	27	0	0.316326531	0	0.22962963	0	7	20	0	0	0.147058824	0.313432836	0	0
11	22	0	0.540816327	0	0.392592593	0	8	14	0	0	0.264705882	0.52238806	0	0
12	25	0	0.795918367	0	0.577777778	0	18	7	0	0	0.529411765	0.626865672	0	0
13	15	0	0.948979592	0	0.688888889	0	11	4	0	0	0.691176471	0.686567164	0	0
14	4	0	0.989795918	0	0.718518519	0	2	2	0	0	0.720588235	0.71641791	0	0
15	1	0	1	0	0.725925926	0	0	1	0	0	0.720588235	0.731343284	0	0
16	0	0	1	0	0.725925926	0	0	0	0	0	0.720588235	0.731343284	0	0
17	0	0	1	0	0.725925926	0	0	0	0	0	0.720588235	0.731343284	0	0
18	0	2	1	0.068965517	0.725925926	0.013333333	0	0	0	2	0.720588235	0.731343284	0	0.025
19	0	0	1	0.068965517	0.725925926	0.013333333	0	0	0	0	0.720588235	0.731343284	0	0.025
20	0	1	1	0.103448276	0.725925926	0.02	0	0	0	1	0.720588235	0.731343284	0	0.0375
21	0	0	1	0.103448276	0.725925926	0.02	0	0	0	0	0.720588235	0.731343284	0	0.0375
22	0	2	1	0.172413793	0.725925926	0.033333333	0	0	1	1	0.720588235	0.731343284	0.014285714	0.05
