plant-id	lineage	number-of-caterpillars	date-caterpillars-placed-on-plant
OI8	MOYZ	3	10/4/23
OI4	MOYZ	3	10/4/23
OI10	MOYZ	3	10/4/23
OI9	MOYZ	3	10/4/23
OI24	MOYZ	3	10/4/23
OC9	MOYZ	3	10/4/23
OC17	MOYZ	3	10/4/23
OC24	MOYZ	3	10/4/23
OC22	MOYZ	3	10/4/23
OC27	MOYZ	3	10/4/23
OC25	MOYZ	2	10/4/23
OI20	DH1-VP6	3	10/5/23
OI12	DH1-VP6	3	10/5/23
OI9	DH1-VP6	3	10/5/23
OI23	DH1-VP6	3	10/5/23
OI21	QS2-CX6	3	10/5/23
OI13	QS2-CX6	3	10/5/23
OI11	QS2-CX6	3	10/5/23
OI25	QS2-CX6	3	10/5/23
OI22	QS2-CX6	2	10/5/23
OI18	QS4-CX6	3	10/5/23
OI17	QS4-CX6	2	10/5/23
OC18	DH1-VP6	3	10/5/23
OC23	DH1-VP6	3	10/5/23
OC1	DH1-VP6	3	10/5/23
OC21	DH1-VP6	3	10/5/23
OC10	QS2-CX6	3	10/5/23
OC14	QS2-CX6	3	10/5/23
OC5	QS2-CX6	3	10/5/23
OC7	QS2-CX6	3	10/5/23
OC12	QS2-CX6	3	10/5/23
OC15	QS4-CX6	3	10/5/23
OC16	QS11-CX6	3	10/5/23
OC4	QS11-CX6	3	10/5/23
OI3	QS4-CX6	3	10/6/23
OI16	QS4-CX6	3	10/6/23
OI6	QS2-CX6	3	10/6/23
OI7	QS11-CX6	3	10/6/23
OI5	QS11-CX6	3	10/6/23
OI14	QS11-CX6	3	10/6/23
OI26	QS11-CX6	3	10/6/23
OI27	QS11-CX6	3	10/6/23
OC13	QS4-CX6	3	10/6/23
OC3	QS4-CX6	3	10/6/23
OC2	QS2-CX6	3	10/6/23
OC8	QS2-CX6	3	10/6/23
OC11	QS11-CX6	3	10/6/23
OC29	QS11-CX6	3	10/6/23
OC28	QS11-CX6	3	10/6/23
OC19	QS11-CX6	3	10/6/23
OC26	QS2-CX6	3	10/5/23
