"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20892127, SEN S/N: 20892127)","Intensity, Lux (LGR S/N: 20892127, SEN S/N: 20892127)"
9/26/23 20:00,24.158,0
9/26/23 20:15,23.677,0
9/26/23 20:30,23.484,0
9/26/23 20:45,23.292,0
9/26/23 21:00,23.292,0
9/26/23 21:15,23.196,0
9/26/23 21:30,23.1,0
9/26/23 21:45,23.196,0
9/26/23 22:00,23.004,0
9/26/23 22:15,22.908,0
9/26/23 22:30,22.812,0
9/26/23 22:45,22.812,0
9/26/23 23:00,22.812,0
9/26/23 23:15,22.717,0
9/26/23 23:30,22.621,0
9/26/23 23:45,22.429,0
9/27/23 0:00,22.333,0
9/27/23 0:15,22.333,0
9/27/23 0:30,22.142,0
9/27/23 0:45,22.046,0
9/27/23 1:00,21.951,0
9/27/23 1:15,21.76,0
9/27/23 1:30,21.569,0
9/27/23 1:45,21.378,0
9/27/23 2:00,21.282,0
9/27/23 2:15,21.091,0
9/27/23 2:30,20.901,0
9/27/23 2:45,20.901,0
9/27/23 3:00,20.901,0
9/27/23 3:15,20.901,0
9/27/23 3:30,20.805,0
9/27/23 3:45,20.71,0
9/27/23 4:00,20.519,0
9/27/23 4:15,20.519,0
9/27/23 4:30,20.519,0
9/27/23 4:45,20.519,0
9/27/23 5:00,20.519,0
9/27/23 5:15,20.329,0
9/27/23 5:30,20.329,0
9/27/23 5:45,20.234,0
9/27/23 6:00,20.138,0
9/27/23 6:15,20.043,0
9/27/23 6:30,19.948,0
9/27/23 6:45,19.948,0
9/27/23 7:00,20.138,0
9/27/23 7:15,20.329,0
9/27/23 7:30,20.424,0
9/27/23 7:45,20.519,139.9
9/27/23 8:00,20.519,204.5
9/27/23 8:15,20.71,409
9/27/23 8:30,20.805,699.7
9/27/23 8:45,20.901,699.7
9/27/23 9:00,20.996,398.3
9/27/23 9:15,20.71,430.6
9/27/23 9:30,20.519,785.8
9/27/23 9:45,20.234,990.3
9/27/23 10:00,20.043,1184
9/27/23 10:15,20.138,1980.6
9/27/23 10:30,20.329,1636.1
9/27/23 10:45,20.138,1216.3
9/27/23 11:00,20.329,2411.1
9/27/23 11:15,20.519,1463.9
9/27/23 11:30,20.424,1550
9/27/23 11:45,20.329,1550
9/27/23 12:00,20.329,2152.8
9/27/23 12:15,20.329,2238.9
9/27/23 12:30,20.519,4477.8
9/27/23 12:45,21.473,4994.5
9/27/23 13:00,21.664,3616.7
9/27/23 13:15,21.855,4650
9/27/23 13:30,21.855,2238.9
9/27/23 13:45,22.238,5511.1
9/27/23 14:00,22.429,2497.2
9/27/23 14:15,22.046,2152.8
9/27/23 14:30,21.855,2583.4
9/27/23 14:45,22.142,2497.2
9/27/23 15:00,22.429,2927.8
9/27/23 15:15,22.238,3272.2
9/27/23 15:30,22.238,2755.6
9/27/23 15:45,22.238,1463.9
9/27/23 16:00,22.046,1636.1
9/27/23 16:15,21.951,1722.2
9/27/23 16:30,22.046,1550
9/27/23 16:45,21.951,2066.7
9/27/23 17:00,22.142,1636.1
9/27/23 17:15,22.238,1894.5
9/27/23 17:30,22.142,1001
9/27/23 17:45,21.855,1173.3
9/27/23 18:00,21.855,1141
9/27/23 18:15,21.76,753.5
9/27/23 18:30,21.664,624.3
9/27/23 18:45,21.473,462.9
9/27/23 19:00,21.282,193.8
9/27/23 19:15,20.901,64.6
9/27/23 19:30,20.519,10.8
9/27/23 19:45,20.329,0
9/27/23 20:00,20.234,0
9/27/23 20:15,20.234,0
9/27/23 20:30,20.329,0
9/27/23 20:45,20.329,0
9/27/23 21:00,20.234,0
9/27/23 21:15,20.043,0
9/27/23 21:30,19.948,0
9/27/23 21:45,19.853,0
9/27/23 22:00,19.662,0
9/27/23 22:15,19.662,0
9/27/23 22:30,19.567,0
9/27/23 22:45,19.377,0
9/27/23 23:00,19.187,0
9/27/23 23:15,19.092,0
9/27/23 23:30,18.901,0
9/27/23 23:45,18.616,0
9/28/23 0:00,18.426,0
9/28/23 0:15,18.14,0
9/28/23 0:30,17.95,0
9/28/23 0:45,17.76,0
9/28/23 1:00,17.57,0
9/28/23 1:15,17.379,0
9/28/23 1:30,17.189,0
9/28/23 1:45,17.094,0
9/28/23 2:00,16.903,0
9/28/23 2:15,16.808,0
9/28/23 2:30,16.808,0
9/28/23 2:45,16.808,0
9/28/23 3:00,16.713,0
9/28/23 3:15,16.713,0
9/28/23 3:30,16.808,0
9/28/23 3:45,16.618,0
9/28/23 4:00,16.618,0
9/28/23 4:15,16.618,0
9/28/23 4:30,16.618,0
9/28/23 4:45,16.618,0
9/28/23 5:00,16.618,0
9/28/23 5:15,16.618,0
9/28/23 5:30,16.713,0
9/28/23 5:45,16.523,0
9/28/23 6:00,16.332,0
9/28/23 6:15,16.141,0
9/28/23 6:30,16.237,0
9/28/23 6:45,16.332,0
9/28/23 7:00,16.332,0
9/28/23 7:15,16.237,0
9/28/23 7:30,16.237,21.5
9/28/23 7:45,16.332,96.9
9/28/23 8:00,16.427,366
9/28/23 8:15,16.427,936.5
9/28/23 8:30,16.713,1173.3
9/28/23 8:45,16.999,807.3
9/28/23 9:00,17.379,1463.9
9/28/23 9:15,17.284,1722.2
9/28/23 9:30,17.57,1808.3
9/28/23 9:45,17.665,1894.5
9/28/23 10:00,17.855,2325
9/28/23 10:15,17.57,2497.2
9/28/23 10:30,17.855,2238.9
9/28/23 10:45,18.236,2755.6
9/28/23 11:00,18.14,2325
9/28/23 11:15,18.426,2755.6
9/28/23 11:30,18.806,3272.2
9/28/23 11:45,19.187,3616.7
9/28/23 12:00,19.187,3444.5
9/28/23 12:15,18.901,2755.6
9/28/23 12:30,19.472,4133.4
9/28/23 12:45,19.758,3100
9/28/23 13:00,20.138,5166.7
9/28/23 13:15,20.519,4650
9/28/23 13:30,20.805,4822.3
9/28/23 13:45,20.996,5166.7
9/28/23 14:00,20.996,2755.6
9/28/23 14:15,20.805,2927.8
9/28/23 14:30,20.901,2152.8
9/28/23 14:45,21.282,1980.6
9/28/23 15:00,21.378,1894.5
9/28/23 15:15,21.76,1894.5
9/28/23 15:30,21.76,1894.5
9/28/23 15:45,22.142,1894.5
9/28/23 16:00,22.429,2066.7
9/28/23 16:15,22.717,2066.7
9/28/23 16:30,23.004,2066.7
9/28/23 16:45,22.908,1377.8
9/28/23 17:00,21.378,1550
9/28/23 17:15,19.758,1313.2
9/28/23 17:30,20.424,1356.3
9/28/23 17:45,21.282,1227.1
9/28/23 18:00,21.855,1141
9/28/23 18:15,21.855,462.9
9/28/23 18:30,21.473,495.1
9/28/23 18:45,21.378,430.6
9/28/23 19:00,21.091,236.8
9/28/23 19:15,20.805,86.1
9/28/23 19:30,20.424,32.3
9/28/23 19:45,20.234,0
9/28/23 20:00,19.853,0
9/28/23 20:15,19.567,0
9/28/23 20:30,19.377,0
9/28/23 20:45,19.187,0
9/28/23 21:00,18.996,0
9/28/23 21:15,18.806,0
9/28/23 21:30,18.616,0
9/28/23 21:45,18.426,0
9/28/23 22:00,18.426,0
9/28/23 22:15,18.236,0
9/28/23 22:30,18.14,0
9/28/23 22:45,18.045,0
9/28/23 23:00,17.95,0
9/28/23 23:15,17.95,0
9/28/23 23:30,18.14,0
9/28/23 23:45,18.045,0
9/29/23 0:00,17.855,0
9/29/23 0:15,17.76,0
9/29/23 0:30,17.57,0
9/29/23 0:45,17.284,0
9/29/23 1:00,17.189,0
9/29/23 1:15,16.999,0
9/29/23 1:30,16.903,0
9/29/23 1:45,16.713,0
9/29/23 2:00,16.713,0
9/29/23 2:15,16.523,0
9/29/23 2:30,16.427,0
9/29/23 2:45,16.237,0
9/29/23 3:00,16.237,0
9/29/23 3:15,16.237,0
9/29/23 3:30,16.237,0
9/29/23 3:45,16.141,0
9/29/23 4:00,15.951,0
9/29/23 4:15,15.76,0
9/29/23 4:30,15.76,0
9/29/23 4:45,15.664,0
9/29/23 5:00,15.664,0
9/29/23 5:15,15.76,0
9/29/23 5:30,15.664,0
9/29/23 5:45,15.569,0
9/29/23 6:00,15.378,0
9/29/23 6:15,15.473,0
9/29/23 6:30,15.473,0
9/29/23 6:45,15.569,0
9/29/23 7:00,15.569,0
9/29/23 7:15,15.569,0
9/29/23 7:30,15.473,21.5
9/29/23 7:45,15.282,172.2
9/29/23 8:00,15.473,366
9/29/23 8:15,15.76,559.7
9/29/23 8:30,16.141,742.7
9/29/23 8:45,16.808,1173.3
9/29/23 9:00,17.379,1044.1
9/29/23 9:15,18.045,1216.3
9/29/23 9:30,18.711,1184
9/29/23 9:45,19.187,1248.6
9/29/23 10:00,19.853,1550
9/29/23 10:15,20.805,1808.3
9/29/23 10:30,21.282,1636.1
9/29/23 10:45,21.569,1550
9/29/23 11:00,22.142,2066.7
9/29/23 11:15,22.812,2152.8
9/29/23 11:30,23.1,8611.2
9/29/23 11:45,23.388,2497.2
9/29/23 12:00,24.255,2927.8
9/29/23 12:15,24.158,2411.1
9/29/23 12:30,24.351,2583.4
9/29/23 12:45,25.222,3788.9
9/29/23 13:00,25.028,2927.8
9/29/23 13:15,25.319,2755.6
9/29/23 13:30,25.61,3788.9
9/29/23 13:45,25.416,2583.4
9/29/23 14:00,25.805,2238.9
9/29/23 14:15,26.292,2152.8
9/29/23 14:30,26.097,1259.4
9/29/23 14:45,26.195,936.5
9/29/23 15:00,26.292,2152.8
9/29/23 15:15,26.585,2238.9
9/29/23 15:30,26.585,1980.6
9/29/23 15:45,26.781,1980.6
9/29/23 16:00,27.075,2238.9
9/29/23 16:15,26.977,1550
9/29/23 16:30,27.075,2152.8
9/29/23 16:45,27.075,1636.1
9/29/23 17:00,26.879,1550
9/29/23 17:15,26.879,1722.2
9/29/23 17:30,26.585,581.3
9/29/23 17:45,25.805,721.2
9/29/23 18:00,25.319,409
9/29/23 18:15,25.319,710.4
9/29/23 18:30,25.125,645.8
9/29/23 18:45,25.222,613.5
9/29/23 19:00,24.738,150.7
9/29/23 19:15,24.255,75.3
9/29/23 19:30,23.773,0
9/29/23 19:45,23.292,0
9/29/23 20:00,23.004,0
9/29/23 20:15,22.812,0
9/29/23 20:30,22.525,0
9/29/23 20:45,22.333,0
9/29/23 21:00,22.238,0
9/29/23 21:15,22.333,0
9/29/23 21:30,22.333,0
9/29/23 21:45,22.238,0
9/29/23 22:00,22.142,0
9/29/23 22:15,21.951,0
9/29/23 22:30,21.855,0
9/29/23 22:45,21.569,0
9/29/23 23:00,21.282,0
9/29/23 23:15,21.091,0
9/29/23 23:30,20.901,0
9/29/23 23:45,20.615,0
9/30/23 0:00,20.424,0
9/30/23 0:15,20.234,0
9/30/23 0:30,20.043,0
9/30/23 0:45,19.758,0
9/30/23 1:00,19.567,0
9/30/23 1:15,19.377,0
9/30/23 1:30,19.282,0
9/30/23 1:45,19.187,0
9/30/23 2:00,18.996,0
9/30/23 2:15,18.901,0
9/30/23 2:30,18.806,0
9/30/23 2:45,18.806,0
9/30/23 3:00,18.521,0
9/30/23 3:15,18.521,0
9/30/23 3:30,18.331,0
9/30/23 3:45,18.236,0
9/30/23 4:00,18.14,0
9/30/23 4:15,17.95,0
9/30/23 4:30,18.045,0
9/30/23 4:45,17.95,0
9/30/23 5:00,17.95,0
9/30/23 5:15,17.855,0
9/30/23 5:30,17.855,0
9/30/23 5:45,17.76,0
9/30/23 6:00,17.57,0
9/30/23 6:15,17.475,0
9/30/23 6:30,17.475,0
9/30/23 6:45,17.475,0
9/30/23 7:00,17.379,0
9/30/23 7:15,17.379,0
9/30/23 7:30,17.284,10.8
9/30/23 7:45,17.284,183
