"Plot Title: dl3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20892125, SEN S/N: 20892125)","Intensity, Lux (LGR S/N: 20892125, SEN S/N: 20892125)","End Of File (LGR S/N: 20892125)"
1,09/26/23 20:00:00,23.773,0.0,
2,09/26/23 20:15:00,23.292,0.0,
3,09/26/23 20:30:00,23.196,0.0,
4,09/26/23 20:45:00,22.908,0.0,
5,09/26/23 21:00:00,23.004,0.0,
6,09/26/23 21:15:00,22.908,0.0,
7,09/26/23 21:30:00,22.812,0.0,
8,09/26/23 21:45:00,22.908,0.0,
9,09/26/23 22:00:00,22.812,0.0,
10,09/26/23 22:15:00,22.717,0.0,
11,09/26/23 22:30:00,22.621,0.0,
12,09/26/23 22:45:00,22.717,0.0,
13,09/26/23 23:00:00,22.717,0.0,
14,09/26/23 23:15:00,22.621,0.0,
15,09/26/23 23:30:00,22.525,0.0,
16,09/26/23 23:45:00,22.238,0.0,
17,09/27/23 00:00:00,22.238,0.0,
18,09/27/23 00:15:00,22.238,0.0,
19,09/27/23 00:30:00,22.142,0.0,
20,09/27/23 00:45:00,22.046,0.0,
21,09/27/23 01:00:00,21.855,0.0,
22,09/27/23 01:15:00,21.569,0.0,
23,09/27/23 01:30:00,21.569,0.0,
24,09/27/23 01:45:00,21.378,0.0,
25,09/27/23 02:00:00,21.282,0.0,
26,09/27/23 02:15:00,21.187,0.0,
27,09/27/23 02:30:00,20.901,0.0,
28,09/27/23 02:45:00,20.901,0.0,
29,09/27/23 03:00:00,20.901,0.0,
30,09/27/23 03:15:00,20.901,0.0,
31,09/27/23 03:30:00,20.901,0.0,
32,09/27/23 03:45:00,20.710,0.0,
33,09/27/23 04:00:00,20.519,0.0,
34,09/27/23 04:15:00,20.519,0.0,
35,09/27/23 04:30:00,20.519,0.0,
36,09/27/23 04:45:00,20.519,0.0,
37,09/27/23 05:00:00,20.519,0.0,
38,09/27/23 05:15:00,20.329,0.0,
39,09/27/23 05:30:00,20.329,0.0,
40,09/27/23 05:45:00,20.234,0.0,
41,09/27/23 06:00:00,20.043,0.0,
42,09/27/23 06:15:00,20.043,0.0,
43,09/27/23 06:30:00,19.948,0.0,
44,09/27/23 06:45:00,20.043,0.0,
45,09/27/23 07:00:00,20.234,0.0,
46,09/27/23 07:15:00,20.329,0.0,
47,09/27/23 07:30:00,20.519,10.8,
48,09/27/23 07:45:00,20.519,226.0,
49,09/27/23 08:00:00,20.615,387.5,
50,09/27/23 08:15:00,20.805,731.9,
51,09/27/23 08:30:00,20.901,1119.5,
52,09/27/23 08:45:00,21.091,1334.7,
53,09/27/23 09:00:00,21.187,861.1,
54,09/27/23 09:15:00,20.901,753.5,
55,09/27/23 09:30:00,20.710,1463.9,
