plant-id	lineage	number-of-caterpillars	date-placed-on-plant
JI1	KLb5-TI10	3	6/12/23
JI17	KLb5-TI10	3	6/12/23
JI14	KLb5-TI10	3	6/12/23
JI29	KLb5-TI10	3	6/12/23
JI11	KLb5-TI10	3	6/12/23
JI7	KLb5-TI10	3	6/12/23
JI5	KLb5-TI10	3	6/12/23
JI15	KLb5-TI10	3	6/12/23
JI26	KLb5-TI10	3	6/12/23
JI6	KLb5-TI10	3	6/12/23
JI9	KLb5-TI10	3	6/12/23
JI10	KLb5-TI10	3	6/12/23
JI21	KLb5-TI10	3	6/12/23
JI25	KLb5-TI10	3	6/12/23
JI2	KLb5-TI10	3	6/12/23
JC8	KLb5-TI10	3	6/12/23
JC1	KLb5-TI10	3	6/12/23
JC7	KLb5-TI10	3	6/12/23
JC9	KLb5-TI10	2	6/12/23
JC19	KLb5-TI10	3	6/12/23
JI8	IJ8-RB7	3	6/16/23
JI18	IJ8-RB7	3	6/16/23
JI16	IJ8-RB7	3	6/16/23
JI20	IJ8-RB7	3	6/16/23
JI19	IJ8-RB7	3	6/16/23
JI12	IJ8-RB7	3	6/16/23
JI13	IJ8-RB7	3	6/16/23
JI23	IJ8-RB7	3	6/16/23
JI22	IJ8-RB7	3	6/16/23
JI24	IJ8-RB7	3	6/16/23
JC15	IJ8-RB7	3	6/16/23
JC13	IJ8-RB7	3	6/16/23
JC12	IJ8-RB7	3	6/16/23
JC20	IJ8-RB7	3	6/16/23
JC16	IJ8-RB7	3	6/16/23
JC26	IJ8-RB7	3	6/16/23
JC2	IJ8-RB7	3	6/16/23
JC6	IJ8-RB7	3	6/16/23
JC5	IJ8-RB7	3	6/16/23
JC3	IJ8-RB7	3	6/16/23
JC4	IJ8-RB7	3	6/16/23
JC10	IJ8-RB7	3	6/16/23
JC17	IJ8-RB7	3	6/16/23
JC18	IJ8-RB7	3	6/16/23
JC11	IJ8-RB7	3	6/16/23
JC29	IJ8-RB7	3	6/16/23
JC28	IJ8-RB7	3	6/16/23
JC27	IJ8-RB7	3	6/16/23
JC22	IJ8-RB7	3	6/16/23
JI3	TI11-WL1	3	6/18/23
JI4	TI11-WL1	3	6/18/23
JI27	TI11-WL1	3	6/18/23
JI28	TI11-WL1	3	6/18/23
JC23	TI11-WL1	3	6/18/23
JC21	TI11-WL1	3	6/18/23
JC24	TI11-WL1	3	6/18/23
JC25	TI11-WL1	3	6/18/23
JC14	TI11-WL1	3	6/18/23
