plant-id	lineage	number-of-caterpillars	date-placed-on-plant
JI1	KLb5-TI10	3	06-12-2023
JI17	KLb5-TI10	3	06-12-2023
JI14	KLb5-TI10	3	06-12-2023
JI29	KLb5-TI10	3	06-12-2023
JI11	KLb5-TI10	3	06-12-2023
JI7	KLb5-TI10	3	06-12-2023
JI5	KLb5-TI10	3	06-12-2023
JI15	KLb5-TI10	3	06-12-2023
JI26	KLb5-TI10	3	06-12-2023
JI6	KLb5-TI10	3	06-12-2023
JI9	KLb5-TI10	3	06-12-2023
JI10	KLb5-TI10	3	06-12-2023
JI21	KLb5-TI10	3	06-12-2023
JI25	KLb5-TI10	3	06-12-2023
JI2	KLb5-TI10	3	06-12-2023
JC8	KLb5-TI10	3	06-12-2023
JC1	KLb5-TI10	3	06-12-2023
JC7	KLb5-TI10	3	06-12-2023
JC9	KLb5-TI10	2	06-12-2023
JC19	KLb5-TI10	3	06-12-2023
JI8	IJ8-RB7	3	06-16-2023
JI18	IJ8-RB7	3	06-16-2023
JI16	IJ8-RB7	3	06-16-2023
JI20	IJ8-RB7	3	06-16-2023
JI19	IJ8-RB7	3	06-16-2023
JI12	IJ8-RB7	3	06-16-2023
JI13	IJ8-RB7	3	06-16-2023
JI23	IJ8-RB7	3	06-16-2023
JI22	IJ8-RB7	3	06-16-2023
JI24	IJ8-RB7	3	06-16-2023
JC15	IJ8-RB7	3	06-16-2023
JC13	IJ8-RB7	3	06-16-2023
JC12	IJ8-RB7	3	06-16-2023
JC20	IJ8-RB7	3	06-16-2023
JC16	IJ8-RB7	3	06-16-2023
JC26	IJ8-RB7	3	06-16-2023
JC2	IJ8-RB7	3	06-16-2023
JC6	IJ8-RB7	3	06-16-2023
JC5	IJ8-RB7	3	06-16-2023
JC3	IJ8-RB7	3	06-16-2023
JC4	IJ8-RB7	3	06-16-2023
JC10	IJ8-RB7	3	06-16-2023
JC17	IJ8-RB7	3	06-16-2023
JC18	IJ8-RB7	3	06-16-2023
JC11	IJ8-RB7	3	06-16-2023
JC29	IJ8-RB7	3	06-16-2023
JC28	IJ8-RB7	3	06-16-2023
JC27	IJ8-RB7	3	06-16-2023
JC22	IJ8-RB7	3	06-16-2023
JI3	TI11-WL1	3	06-18-2023
JI4	TI11-WL1	3	06-18-2023
JI27	TI11-WL1	3	06-18-2023
JI28	TI11-WL1	3	06-18-2023
JC23	TI11-WL1	3	06-18-2023
JC21	TI11-WL1	3	06-18-2023
JC24	TI11-WL1	3	06-18-2023
JC25	TI11-WL1	3	06-18-2023
JC14	TI11-WL1	3	06-18-2023
