pupation-event-uid	plant-id	pupation-count	date	relative-position-s	notes
06-24-2023JC8	JC8	1	06-24-2023	NA	J at pupation check
06-24-2023JI7	JI7	1	06-24-2023	NA	NA
06-24-2023JI6	JI6	1	06-24-2023	NA	J at pupation check
06-24-2023JI2	JI2	1	06-24-2023	NA	NA
06-24-2023JI9	JI9	2	06-24-2023	NA	NA
06-24-2023JI10	JI10	2	06-24-2023	left	Left J at pupation check
06-24-2023JI11	JI11	1	06-24-2023	left	NA
06-24-2023JI14	JI14	2	06-24-2023	NA	NA
06-24-2023JI15	JI15	2	06-24-2023	NA	Left J at pupation check
06-24-2023JI21	JI21	1	06-24-2023	left	Left J at pupation check
06-24-2023JI25	JI25	2	06-24-2023	right	Right J at pupation check
06-24-2023JI26	JI26	1	06-24-2023	middle	J at pupation check
06-24-2023JI29	JI29	1	06-24-2023	NA	died during pupation
06-25-2023JI1	JI1	1	06-25-2023	NA	NA
06-25-2023JI5	JI5	2	06-25-2023	NA	NA
06-25-2023JC9	JC9	1	06-25-2023	NA	J at pupation check
06-25-2023JI17	JI17	2	06-25-2023	NA	NA
06-25-2023JI11	JI11	1	06-25-2023	right	NA
06-25-2023JI14	JI14	1	06-25-2023	leftmost	NA
06-25-2023JI20	JI20	1	06-25-2023	right	Right J at pupation check
06-25-2023JI21	JI21	1	06-25-2023	right	Right J at pupation check
06-25-2023JI26	JI26	2	06-25-2023	rightmost-and-leftmost	NA
06-25-2023JC28	JC28	1	06-25-2023	right	Right J at pupation check
06-25-2023JI19	JI19	2	06-25-2023	NA	Both J at pupation check
06-25-2023JC1	JC1	1	06-25-2023	NA	J at pupation check
06-26-2023JC7	JC7	2	06-26-2023	NA	NA
06-26-2023JC2	JC2	3	06-26-2023	NA	NA
06-26-2023JC3	JC3	2	06-26-2023	rightmost-and-leftmost	NA
06-26-2023JC4	JC4	2	06-26-2023	NA	NA
06-26-2023JI18	JI18	2	06-26-2023	NA	NA
06-26-2023JC18	JC18	1	06-26-2023	right	NA
06-26-2023JC10	JC10	1	06-26-2023	right	NA
06-26-2023JC17	JC17	1	06-26-2023	right	NA
06-26-2023JC11	JC11	1	06-26-2023	right	NA
06-26-2023JI11	JI11	1	06-26-2023	left	NA
06-26-2023JI13	JI13	1	06-26-2023	right	Right J at pupation check
06-26-2023JI14	JI14	1	06-26-2023	right	NA
06-26-2023JC15	JC15	2	06-26-2023	NA	NA
06-26-2023JC22	JC22	2	06-26-2023	NA	Both on leaves
06-26-2023JI23	JI23	2	06-26-2023	NA	Left J at pupation check
06-26-2023JI21	JI21	1	06-26-2023	left	NA
06-26-2023JI22	JI22	2	06-26-2023	NA	Both J at pupation check
06-26-2023JC27	JC27	1	06-26-2023	NA	NA
06-26-2023JC29	JC29	3	06-26-2023	NA	NA
06-26-2023JC5	JC5	1	06-26-2023	NA	J at pupation check
06-27-2023JC6	JC6	2	06-27-2023	NA	NA
06-27-2023JC3	JC3	1	06-27-2023	middle	NA
06-27-2023JC19	JC19	1	06-27-2023	NA	NA
06-27-2023JC11	JC11	1	06-27-2023	left	Left J at pupation check
06-27-2023JI16	JI16	2	06-27-2023	NA	NA
06-27-2023JI12	JI12	2	06-27-2023	NA	NA
06-27-2023JI13	JI13	1	06-27-2023	left	NA
06-27-2023JI20	JI20	1	06-27-2023	NA	On stem
06-27-2023JI24	JI24	1	06-27-2023	right	Right J at pupation check
06-27-2023JC13	JC13	2	06-27-2023	two-rightmost	Right J at pupation check
06-27-2023JC16	JC16	2	06-27-2023	NA	Both J at pupation check
06-28-2023JC13	JC13	1	06-28-2023	left	NA
06-28-2023JC20	JC20	2	06-28-2023	leftmost	Left J at pupation check
06-28-2023JC26	JC26	3	06-28-2023	NA	Right J at pupation check
06-29-2023JC18	JC18	2	06-29-2023	middle-and-left	Unsure about pupation date
06-29-2023JI3	JI3	1	06-29-2023	NA	J at pupation check
06-29-2023JC14	JC14	1	06-29-2023	NA	J at pupation check
06-29-2023JC23	JC23	1	06-29-2023	NA	J at pupation check
06-29-2023JC25	JC25	3	06-29-2023	NA	2 leftmost J at pupation check
06-29-2023JI24	JI24	1	06-29-2023	NA	NA
06-29-2023JC24	JC24	1	06-29-2023	NA	J at pupation check
